date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,uv_index_max
2023-10-24 00:00:00+00:00,80,13.764501,8.514501,11.771698,7.357914,0,0,36604.004,27321.502,2.55
2023-10-25 00:00:00+00:00,63,11.8645,8.7145,10.726122,6.1640825,0,0,36384.77,14800.57,1.9
2023-10-26 00:00:00+00:00,80,14.764501,10.2145,13.195625,9.261758,0,0,36165.57,28942.076,2.5
2023-10-27 00:00:00+00:00,80,13.064501,8.4645,10.994712,7.2639637,0,0,35946.242,19641.982,2.35
2023-10-28 00:00:00+00:00,61,13.8645,10.6145,11.561544,9.256449,0,0,35726.98,18215.53,2.2
2023-10-29 00:00:00+00:00,3,13.314501,8.814501,10.243328,6.475006,0,0,35507.98,28806.15,2.05
2023-10-30 00:00:00+00:00,3,14.1145,10.2145,12.0425,8.822912,0,0,35289.434,28658.96,2.2
2023-10-31 00:00:00+00:00,80,13.1645,10.014501,11.938799,8.971247,0,0,35071.55,17245.805,1.8
2023-11-01 00:00:00+00:00,80,13.9645,9.014501,11.641279,4.9345837,0,0,34854.543,18867.215,2.1
2023-11-02 00:00:00+00:00,80,11.9145,9.4645,9.4885025,4.6366014,0,0,34638.613,0,0.5
2023-11-03 00:00:00+00:00,95,12.1645,7.8145,10.283225,4.963649,0,0,34423.992,27819.484,2
2023-11-04 00:00:00+00:00,95,11.814501,6.8645,9.969911,4.3223515,0,0,34210.902,15245.836,2
2023-11-05 00:00:00+00:00,45,11.9645,7.2145,8.17304,4.924917,0,0,33999.57,29081.125,2
2023-11-06 00:00:00+00:00,80,11.4645,8.514501,8.122181,5.848441,0,0,33790.242,27108.37,1.85
2023-11-07 00:00:00+00:00,3,11.764501,8.1645,8.342819,5.8096857,0,0,33583.16,28622.857,1.8
2023-11-08 00:00:00+00:00,80,13.4145,7.2645,11.152449,5.2065907,0,0,33378.566,0,1.25
2023-11-09 00:00:00+00:00,80,9.264501,7.3645,5.35009,3.7650461,0,0,33176.74,7759.0947,1.75
2023-11-10 00:00:00+00:00,80,10.6645,6.1145,7.4750805,3.6109781,0,0,32977.92,27308.55,1.8
2023-11-11 00:00:00+00:00,3,10.6145,4.5645,9.190834,2.4244623,0,0,32782.4,21600,1.8
2023-11-12 00:00:00+00:00,80,11.7145,6.4144998,10.088853,3.654778,0,0,32590.451,648.9869,0.75
2023-11-13 00:00:00+00:00,80,14.7145,11.014501,11.882578,6.955282,0,0,32402.355,26334.996,1.75
2023-11-14 00:00:00+00:00,80,12.064501,10.564501,9.763093,7.9627304,0,0,32218.053,14282.959,1.3
2023-11-15 00:00:00+00:00,3,11.1645,6.9144998,8.275185,5.1936245,0,0,32035.643,27444.996,1.6
2023-11-16 00:00:00+00:00,80,8.264501,6.2645,6.294276,3.8531017,0,0,31854.979,1148.1077,1
2023-11-17 00:00:00+00:00,61,10.314501,5.3145,7.9010344,3.0339546,0,0,31676.29,17722.207,1.45
2023-11-18 00:00:00+00:00,80,15.564501,9.7145,13.73667,6.708929,0,0,31499.791,3969.7183,0.65
2023-11-19 00:00:00+00:00,61,12.814501,10.514501,9.0547695,7.1505604,0,0,31325.727,1136.0547,0.4
2023-11-20 00:00:00+00:00,80,11.564501,9.264501,9.705299,6.2007074,0,0,31154.322,15608.162,1.35
2023-11-21 00:00:00+00:00,80,10.4145,6.5645,8.85429,4.9483957,0,0,30985.818,0,0.55
2023-11-22 00:00:00+00:00,3,11.6645,5.0645,9.326368,3.2406273,0,0,30820.479,3148.082,1.25
2023-11-23 00:00:00+00:00,3,11.8645,10.764501,9.318273,7.6094704,0,0,30658.547,16038.606,1.2
2023-11-24 00:00:00+00:00,3,11.7145,2.6645,9.36437,0.19774914,0,0,30500.28,19727.463,1.4
2023-11-25 00:00:00+00:00,45,5.2645,-1.0855,2.3266168,-3.8909242,0,0,30345.945,24144.049,1.4
2023-11-26 00:00:00+00:00,61,10.064501,0.5145,8.159532,-1.9926631,0,0,30195.807,0,0.45
2023-11-27 00:00:00+00:00,61,10.1645,4.8145,7.8480396,1.3729248,0,0,30050.145,4061.6187,1.2
2023-11-28 00:00:00+00:00,3,7.1644998,2.5644999,4.831065,-0.035764217,0,0,29909.234,19492.965,1.2
2023-11-29 00:00:00+00:00,45,5.9144998,1.9645,3.5523782,-1.6577129,0,0,29773.354,10370.757,1.05
2023-11-30 00:00:00+00:00,3,3.6645,-0.68549997,-0.9272423,-4.6921573,0,0,29642.799,5679.022,1.1
2023-12-01 00:00:00+00:00,3,2.2145,-1.2855,-1.4979529,-4.9419317,0,0,29517.848,22681.03,1.25
2023-12-02 00:00:00+00:00,61,2.6645,-3.6355,-0.13950396,-6.801331,0,0,29398.793,18540.73,1.3
2023-12-03 00:00:00+00:00,61,8.6145,2.4145,6.3979044,-0.71219873,0,0,29285.936,2438.3872,0.4
2023-12-04 00:00:00+00:00,63,8.6645,4.7145,7.301512,0.99310017,0,0,29179.312,0,0.3
2023-12-05 00:00:00+00:00,61,6.1145,3.2145,3.3583555,1.223125,0,0,29077.652,3323.802,0.2
2023-12-06 00:00:00+00:00,61,5.9144998,-0.93549997,1.7930489,-3.7560687,0,0,28980.855,13563.996,0.95
2023-12-07 00:00:00+00:00,61,10.064501,6.2645,8.313283,1.5853777,0,0,28889.055,0,0.2
2023-12-08 00:00:00+00:00,3,10.1145,7.9144998,7.0927925,4.6542797,0,0,28802.379,6161.8096,0.95
2023-12-09 00:00:00+00:00,63,12.9145,8.4145,10.344382,4.0374928,0,0,28720.969,15268.371,0.75
2023-12-10 00:00:00+00:00,80,12.6145,8.9645,9.94384,4.973669,0,0,28644.953,9223.747,1
2023-12-11 00:00:00+00:00,3,10.6145,9.014501,8.482018,4.6971188,0,0,28574.455,21872.203,1.15
2023-12-12 00:00:00+00:00,95,11.314501,8.0645,9.469521,5.2857666,0,0,28509.617,7237.4214,1
2023-12-13 00:00:00+00:00,3,8.1145,2.8645,6.503789,0.17437887,0,0,28450.557,18974.865,1.05
2023-12-14 00:00:00+00:00,61,10.1145,1.8145001,7.9750977,-0.89085484,0,0,28397.396,13643.417,0.95
2023-12-15 00:00:00+00:00,3,9.564501,4.7645,7.8460474,2.150229,0,0,28350.26,11004.178,0.9
2023-12-16 00:00:00+00:00,3,12.2145,9.564501,9.827692,7.4336815,0,0,28309.264,7960.9077,0.45
2023-12-17 00:00:00+00:00,3,11.1145,7.4144998,7.9659843,3.884715,0,0,28274.518,7981.972,0.9
2023-12-18 00:00:00+00:00,61,12.8645,9.1145,11.016739,5.805377,0,0,28246.13,2920.6494,0.8
2023-12-19 00:00:00+00:00,80,12.9645,6.5645,11.655692,2.9154525,0,0,28224.223,0,0.25
2023-12-20 00:00:00+00:00,3,10.4145,6.6145,7.505314,2.7527308,0,0,28208.875,9345.214,0.75
2023-12-21 00:00:00+00:00,3,11.764501,9.9145,7.7720404,6.1723347,0,0,28200.193,17226.58,0.7
2023-12-22 00:00:00+00:00,61,10.8645,9.2145,6.979459,5.1359367,0,0,28198.268,17281.133,1.15
2023-12-23 00:00:00+00:00,3,11.064501,9.2145,7.347496,5.009289,0,0,28203.188,15290.6,1.2
2023-12-24 00:00:00+00:00,61,12.9145,11.264501,9.322317,7.293375,0,0,28215.035,0,0.2
2023-12-25 00:00:00+00:00,61,12.264501,9.564501,9.990946,5.700019,0,0,28233.9,0,0.25
2023-12-26 00:00:00+00:00,61,9.514501,6.6644998,6.73726,3.740878,0,0,28259.678,9210.273,0.9
2023-12-27 00:00:00+00:00,63,12.8645,7.3145,9.249763,3.9495811,0,0,28292.25,0,0.15
2023-12-28 00:00:00+00:00,80,11.4145,9.564501,7.317356,5.4486666,0,0,28331.484,13956.689,1
2023-12-29 00:00:00+00:00,80,9.6645,7.2145,6.7630615,4.0305166,0,0,28377.242,12260.575,0.6
2023-12-30 00:00:00+00:00,63,11.814501,6.9144998,8.065821,4.4454527,0,0,28429.387,2682.1719,0.6
2023-12-31 00:00:00+00:00,95,8.314501,6.9645,5.7602787,2.2284508,0,0,28487.78,0,1.1
2024-01-01 00:00:00+00:00,63,12.264501,6.4645,9.006109,2.8736835,0,0,28552.273,1744.5323,0.9
2024-01-02 00:00:00+00:00,80,14.264501,9.2145,10.720299,4.312145,0,0,28622.723,0,0.6
2024-01-03 00:00:00+00:00,80,9.6645,8.564501,6.4727306,5.0849543,0,0,28698.97,4865.01,1
2024-01-04 00:00:00+00:00,61,8.3645,6.0645,5.9555054,2.7468405,0,0,28780.87,0,0.65
2024-01-05 00:00:00+00:00,3,7.7145,4.6145,5.4526577,2.1086302,0,0,28868.264,22711.334,1.15
2024-01-06 00:00:00+00:00,2,6.9144998,2.7645,4.201828,0.27384996,0,0,28960.99,20015.316,1.15
2024-01-07 00:00:00+00:00,3,4.2645,0.064500004,0.6111145,-3.792992,0,0,29058.902,21609.85,1.15
2024-01-08 00:00:00+00:00,3,3.0145,-0.98550004,-2.142662,-4.8509645,0,0,29161.838,21067.34,1.2
2024-01-09 00:00:00+00:00,3,2.4145,0.26450002,-3.2401774,-4.7104154,0,0,29269.64,18893.486,1.2
2024-01-10 00:00:00+00:00,3,4.3645,-0.13549998,-0.34676313,-4.327585,0,0,29382.158,24079.316,1.25
2024-01-11 00:00:00+00:00,3,4.9144998,0.8645,1.7747016,-3.2361736,0,0,29499.219,22218.008,1.25
2024-01-12 00:00:00+00:00,3,5.5145,2.5145,1.528038,-0.17640114,0,0,29620.676,15988.602,1.3
2024-01-13 00:00:00+00:00,45,3.4145,0.16450001,0.6395488,-2.7326536,0,0,29746.646,23199.383,0.8
2024-01-14 00:00:00+00:00,45,5.6145,0.11450001,1.9206147,-2.701001,0,0,29878.508,23861.43,1.05
2024-01-15 00:00:00+00:00,3,3.7145,-0.8855,-0.39395428,-4.007405,0,0,30016.215,24683.064,1.35
2024-01-16 00:00:00+00:00,3,4.0145,-1.6355,0.074513435,-4.7963924,0,0,30159.477,24730.35,1.4
2024-01-17 00:00:00+00:00,3,2.0645,-2.1355,-2.3281515,-5.887328,0,0,30307.984,0,1.05
2024-01-18 00:00:00+00:00,1,2.8144999,-3.6855001,-1.1143308,-7.145358,0,0,30461.45,25322.531,1.35
2024-01-19 00:00:00+00:00,3,4.4645,-2.0355,0.6891222,-5.3571177,0,0,30619.562,25460.703,1.35
2024-01-20 00:00:00+00:00,61,7.1644998,2.6645,1.9873734,-2.3117783,0,0,30782.047,13606.59,1.1
2024-01-21 00:00:00+00:00,80,13.264501,6.1145,8.495701,0.66371393,0,0,30948.617,3475.086,1.2
2024-01-22 00:00:00+00:00,80,13.7145,7.5645,8.802519,3.1149015,0,0,31118.998,25252.32,1.4
2024-01-23 00:00:00+00:00,61,14.2145,6.7145,10.413244,3.0523577,0,0,31292.912,0,0.25
2024-01-24 00:00:00+00:00,3,11.314501,8.0645,6.901457,4.333763,0,0,31470.1,16896.443,1.4
2024-01-25 00:00:00+00:00,61,12.8645,7.9144998,10.59359,6.4705725,0,0,31650.3,8158.035,1.1
2024-01-26 00:00:00+00:00,80,13.314501,5.2645,10.65651,2.2224283,0,0,31833.256,26555.143,1.55
2024-01-27 00:00:00+00:00,3,8.764501,3.2145,5.2519674,0.5621958,0,0,32018.719,11285.508,1.1
2024-01-28 00:00:00+00:00,3,11.6645,5.8145,9.501616,3.4760785,0,0,32206.455,24191.426,1.55
2024-01-29 00:00:00+00:00,3,13.064501,10.514501,10.161001,7.99638,0,0,32396.227,2870.7908,1.5
2024-01-30 00:00:00+00:00,3,10.9645,3.7145,8.295211,1.2950168,0,0,32587.795,20300.793,0.85
2024-01-31 00:00:00+00:00,61,11.2145,2.0145,8.312714,-0.5531323,0,0,32780.95,18000,1.2
2024-02-01 00:00:00+00:00,3,10.564501,3.5644999,8.621243,1.1131167,0,0,32975.465,26498.623,1.65
2024-02-02 00:00:00+00:00,3,10.9645,6.4645,7.3056946,3.1636362,0,0,33171.492,8374.129,1.4
2024-02-03 00:00:00+00:00,3,10.65,9.25,8.503211,5.896323,0,0,33370.99,0,0.6
2024-02-04 00:00:00+00:00,3,11.4,8.1,7.5258646,5.2214165,0,0,33574.035,1160.4142,1.45
2024-02-05 00:00:00+00:00,51,11,7.85,7.3916235,4.687155,0,0,33780.35,7473.1035,1.15
2024-02-06 00:00:00+00:00,63,11.8,6.75,9.0572815,6.626154,0,0,33989.66,0,0.5
2024-02-07 00:00:00+00:00,51,6.55,4.2,5.5329533,2.6213832,0,0,34201.703,425.87402,1.4
2024-02-08 00:00:00+00:00,61,12.25,4.5,11.481727,2.3940177,0,0,34416.22,618.815,1.3
2024-02-09 00:00:00+00:00,51,11.75,7.95,10.193866,6.440235,0,0,34632.95,5687.8516,1.7
2024-02-10 00:00:00+00:00,3,10.75,6.7,7.454792,4.3462677,0,0,34851.66,23220.465,1.75
2024-02-11 00:00:00+00:00,51,9.3,4.65,6.832636,2.9794712,0,0,35072.11,27711.945,1.95
2024-02-12 00:00:00+00:00,3,8.3,3.8,4.34797,1.1768327,0,0,35294.06,31068.316,2.2
2024-02-13 00:00:00+00:00,55,11.85,4.85,10.34086,1.7583055,0,0,35517.297,0,0.3
2024-02-14 00:00:00+00:00,61,14.15,11.25,12.45097,9.041718,0,0,35741.586,4904.7974,1.5
2024-02-15 00:00:00+00:00,61,15.45,10.75,13.358196,9.297027,0,0,35966.727,15031.352,2.15
2024-02-16 00:00:00+00:00,53,11.15,8.65,9.823774,6.552024,0,0,36192.5,28746.953,2.45
2024-02-17 00:00:00+00:00,61,12.1,9.25,11.646198,6.698167,0,0,36418.715,9861.033,1.15
2024-02-18 00:00:00+00:00,51,12.15,7.9,11.912207,7.297572,0,0,36645.156,26608.54,2.35
2024-02-19 00:00:00+00:00,51,12.35,7.75,9.140371,5.656665,0,0,36871.637,13701.496,1.9
2024-02-20 00:00:00+00:00,61,12.25,7.25,8.952114,5.268943,0,0,37097.97,372.43103,1.85
2024-02-21 00:00:00+00:00,63,11.3,8.7,9.335245,4.8990555,0,0,37323.96,0,0.45
2024-02-22 00:00:00+00:00,80,9.65,4.65,6.9658566,0.63922787,0,0,37549.78,643.9183,1.7
2024-02-23 00:00:00+00:00,80,6.25,2.15,2.4271612,0.7155199,0,0,37777.36,16985.646,2.3
2024-02-24 00:00:00+00:00,45,7.25,0.85,5.615613,0.7021432,0,0,38006.848,18000,0.65
2024-02-25 00:00:00+00:00,61,7.6,1.25,3.578619,-0.54465723,0,0,38238.05,0,1.4
2024-02-26 00:00:00+00:00,3,8.05,2.8,3.5744061,-1.6480579,0,0,38470.77,32450.81,2.8
2024-02-27 00:00:00+00:00,45,8.2,0.6,6.42264,-0.87887716,0,0,38704.832,5296.5146,2.85
2024-02-28 00:00:00+00:00,61,10.85,4.55,9.686689,4.7353716,0,0,38940.047,0,0.75
2024-02-29 00:00:00+00:00,61,10.6,3.8,7.881034,-0.41887116,0,0,39176.24,0,2.1
2024-03-01 00:00:00+00:00,61,5.75,2.5,1.0409241,-2.2440174,0,0,39413.234,23988.713,2.95
2024-03-02 00:00:00+00:00,61,4.95,0.9,1.167234,-2.5888982,0,0,39650.863,9290.937,1.5
2024-03-03 00:00:00+00:00,3,8.3,-1.1,6.1372843,-4.7353163,0,0,39888.953,35302.652,3.05
2024-03-04 00:00:00+00:00,53,8.75,-0.75,4.0369406,-4.139054,0,0,40127.348,5385.6177,2.45
2024-03-05 00:00:00+00:00,51,10.35,2.45,8.315665,-0.1246624,0,0,40365.87,22997.252,3.2
2024-03-06 00:00:00+00:00,2,11.1,0.6,7.8033457,-2.3235407,0,0,40604.367,33904.793,3.3
2024-03-07 00:00:00+00:00,51,9.6,3.3,4.697876,-0.8105259,0,0,40842.676,28681.691,3.1
2024-03-08 00:00:00+00:00,3,10.85,3,5.343506,-1.8457832,0,0,41080.65,34367.402,3.45
2024-03-09 00:00:00+00:00,53,12.1,5.6,7.816351,0.6378012,0,0,41318.113,16775.898,3.1
2024-03-10 00:00:00+00:00,53,11.55,6.05,9.779222,3.2830114,0,0,41554.926,5774.8906,2.3
2024-03-11 00:00:00+00:00,51,9.35,6.5,6.876109,3.71704,0,0,41790.918,14885.041,2.35
2024-03-12 00:00:00+00:00,61,12.2,6.4,8.434856,3.6804557,0,0,42025.945,430.51462,0.9
2024-03-13 00:00:00+00:00,51,13.25,9.9,9.364176,6.4939604,0,0,42260.168,11244.9,3
2024-03-14 00:00:00+00:00,55,14.1,9.95,9.409155,6.720892,0,0,42495.316,2428.7224,3.75
2024-03-15 00:00:00+00:00,55,12.15,6.05,8.25137,3.0258245,0,0,42731.562,24078.936,3.05
2024-03-16 00:00:00+00:00,53,11.3,3.1,8.78948,0.99960756,0,0,42968.773,6758.3853,3.05
2024-03-17 00:00:00+00:00,61,13.6,6.95,10.465333,5.0199614,0,0,43206.793,32154.04,3.95
2024-03-18 00:00:00+00:00,51,14.25,6.7,12.094723,4.595542,0,0,43445.492,25058.545,3.3
2024-03-19 00:00:00+00:00,61,15.05,9.85,12.798235,6.563733,0,0,43684.723,25817.479,2.4
2024-03-20 00:00:00+00:00,61,14,8.1,12.966803,6.145933,0,0,43924.355,8630.547,3.2
2024-03-21 00:00:00+00:00,3,10.1,6.15,6.85791,4.616643,0,0,44164.242,18716.031,3.1
2024-03-22 00:00:00+00:00,51,11.85,5.35,7.8005295,1.0896082,0,0,44404.246,27999.523,4
2024-03-23 00:00:00+00:00,51,8.3,3.65,2.5958319,-1.4369559,0,0,44644.23,39298.168,4.05
2024-03-24 00:00:00+00:00,51,11.45,5.65,7.059084,1.1756825,0,0,44884.055,40194.168,3.7
2024-03-25 00:00:00+00:00,51,10.9,6.9,5.7587748,3.1277618,0,0,45123.582,0,2.45
2024-03-26 00:00:00+00:00,53,11.5,6.8,9.534727,3.5243182,0,0,45362.664,244.03749,2.7
2024-03-27 00:00:00+00:00,63,8.5,5.65,3.8047037,1.1730213,0,0,45601.16,22762.016,3.5
2024-03-28 00:00:00+00:00,63,9.2,3.15,3.0127292,-1.387872,0,0,45838.926,23888.676,3.05
2024-03-29 00:00:00+00:00,51,11.6,5.45,6.6485567,2.1218047,0,0,46075.816,37433.45,4.4
2024-03-30 00:00:00+00:00,51,13.2,4.65,9.45616,1.5811963,0,0,46311.68,41070.07,4.35
2024-03-31 00:00:00+00:00,53,11.6,5,7.762169,1.5368824,0,0,46546.363,31103.475,2.6
2024-04-01 00:00:00+00:00,53,12.6,5.9,10.037156,3.289277,0,0,46779.715,36261.184,4.5
2024-04-02 00:00:00+00:00,61,12.25,6.3,9.04504,3.6442585,0,0,47011.883,18778.447,3.4
2024-04-03 00:00:00+00:00,61,11.45,9.25,8.226086,3.8310604,0,0,47244.496,27249.758,4.7
2024-04-04 00:00:00+00:00,61,12.7,9.2,9.945773,5.243471,0,0,47477.727,22063.371,4.35
2024-04-05 00:00:00+00:00,53,15.35,11.25,10.548982,7.451582,0,0,47711.438,38443.31,4.85
2024-04-06 00:00:00+00:00,51,15.95,10.85,12.794243,5.7103634,0,0,47945.49,26602.291,4.3
2024-04-07 00:00:00+00:00,51,14.1,9.55,8.814541,5.0543137,0,0,48179.75,40354.504,5.1
2024-04-08 00:00:00+00:00,51,15,8.1,10.979751,3.316227,0,0,48414.066,4635.014,3.15
2024-04-09 00:00:00+00:00,51,11.3,6.4,5.852619,-0.089159966,0,0,48648.31,32205.697,5.1
2024-04-10 00:00:00+00:00,51,12.7,6.6,10.610273,3.656045,0,0,48882.32,826.87317,1.1
2024-04-11 00:00:00+00:00,51,16.95,11.7,15.623203,9.663835,0,0,49115.965,13974.585,4.4
2024-04-12 00:00:00+00:00,3,18.9,8.6,16.147202,6.189575,0,0,49349.082,33133.977,4.8
2024-04-13 00:00:00+00:00,3,14.7,8.05,11.617013,6.3470774,0,0,49581.51,31212.062,4.85
2024-04-14 00:00:00+00:00,3,11.45,6.2,6.852893,3.4668179,0,0,49813.105,39308.637,5.1
2024-04-15 00:00:00+00:00,51,9.85,6.9,3.509242,1.196764,0,0,50043.7,38084.11,5.35
2024-04-16 00:00:00+00:00,51,12.75,5.4,8.816912,2.0911694,0,0,50273.12,45495.664,5.45
2024-04-17 00:00:00+00:00,51,10.15,4.25,5.2982845,1.1862268,0,0,50501.203,29080.309,4.4
2024-04-18 00:00:00+00:00,3,10.9,2.05,8.166428,-1.2613912,0,0,50727.76,36339.797,5.55
2024-04-19 00:00:00+00:00,51,14.55,6.85,10.11034,3.4744883,0,0,50952.625,42061.305,5.25
2024-04-20 00:00:00+00:00,2,11.95,2.6,9.198309,-0.4546392,0,0,51175.605,46099.668,5.7
2024-04-21 00:00:00+00:00,3,11.35,4,7.024811,0.8617058,0,0,51396.508,43255.18,5.7
